epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,21170.8,1.68249,1.73401,0.0265,0.53397,0.60328,0.57739,0.21168,1.98864,1.67128,0.04325,0.0009308,0.0009308,0.0009308
56,21551.4,1.61988,1.71665,0.02561,0.59886,0.57049,0.5718,0.20648,1.99049,1.69453,0.04343,0.000911,0.000911,0.000911
57,21934.3,1.66629,1.75979,0.02652,0.57197,0.53452,0.51644,0.20234,2.01084,1.67662,0.04441,0.0008912,0.0008912,0.0008912
58,22315.2,1.64042,1.73603,0.0263,0.55477,0.57377,0.54797,0.20635,2.0044,1.61781,0.0435,0.0008714,0.0008714,0.0008714
59,22695.8,1.60628,1.703,0.02529,0.57665,0.58689,0.5718,0.21173,2.02669,1.60604,0.04489,0.0008516,0.0008516,0.0008516
60,23077.7,1.6113,1.70503,0.0256,0.57538,0.53757,0.5306,0.19947,1.97855,1.74028,0.04294,0.0008318,0.0008318,0.0008318
61,23460.8,1.62031,1.75608,0.02619,0.52921,0.54098,0.54971,0.20341,2.01861,1.69291,0.04378,0.000812,0.000812,0.000812
62,23842.3,1.6176,1.74087,0.02566,0.54395,0.58361,0.55886,0.20319,2.00068,1.69901,0.04378,0.0007922,0.0007922,0.0007922
63,24223.1,1.61936,1.735,0.02561,0.63008,0.53612,0.5818,0.21215,2.08153,1.55658,0.04619,0.0007724,0.0007724,0.0007724
64,24604.3,1.6122,1.65621,0.02511,0.6342,0.49836,0.57243,0.22234,2.00106,1.61325,0.04377,0.0007526,0.0007526,0.0007526
65,24984.9,1.59123,1.66543,0.02475,0.64426,0.55816,0.57277,0.22862,2.02109,1.50776,0.04489,0.0007328,0.0007328,0.0007328
66,25366.2,1.58767,1.66689,0.02454,0.55334,0.59672,0.57012,0.215,1.99539,1.61177,0.04325,0.000713,0.000713,0.000713
67,25747.2,1.63905,1.68922,0.02583,0.54303,0.6,0.57641,0.21463,1.99833,1.62114,0.04354,0.0006932,0.0006932,0.0006932
68,26128.3,1.60671,1.67356,0.02484,0.59298,0.53443,0.55303,0.20939,2.05617,1.57845,0.04458,0.0006734,0.0006734,0.0006734
69,26508.6,1.59675,1.67383,0.0251,0.5435,0.58944,0.56365,0.20721,2.0225,1.54639,0.04366,0.0006536,0.0006536,0.0006536
70,26889.1,1.56619,1.65542,0.02473,0.61014,0.54754,0.5763,0.21969,1.96791,1.60843,0.04289,0.0006338,0.0006338,0.0006338
71,27269.3,1.59115,1.57023,0.0255,0.62166,0.55082,0.56849,0.21563,2.00629,1.6013,0.04464,0.000614,0.000614,0.000614
72,27649.7,1.6127,1.63278,0.02547,0.61419,0.58459,0.57772,0.21185,1.98368,1.63803,0.04314,0.0005942,0.0005942,0.0005942
73,28030.6,1.57812,1.64407,0.02455,0.55899,0.5541,0.55967,0.21507,1.92017,1.732,0.04105,0.0005744,0.0005744,0.0005744
74,28411.8,1.5743,1.59044,0.0248,0.51969,0.61967,0.54783,0.2045,2.07536,1.6179,0.04545,0.0005546,0.0005546,0.0005546
75,28793,1.58721,1.57006,0.02465,0.5756,0.57377,0.56518,0.20824,2.02638,1.59148,0.04376,0.0005348,0.0005348,0.0005348
76,29173,1.5648,1.6396,0.02441,0.54634,0.58833,0.55312,0.20289,2.00963,1.65957,0.04376,0.000515,0.000515,0.000515
77,29553.2,1.5353,1.5695,0.02405,0.59113,0.59016,0.57505,0.21136,2.01486,1.57669,0.04338,0.0004952,0.0004952,0.0004952
78,29933.1,1.5697,1.5507,0.02494,0.59785,0.5541,0.56445,0.21917,2.00937,1.58163,0.04314,0.0004754,0.0004754,0.0004754
79,30314.3,1.5318,1.58968,0.02435,0.5942,0.56066,0.59283,0.22528,2.0293,1.59277,0.04448,0.0004556,0.0004556,0.0004556
80,30694.9,1.55044,1.56124,0.0245,0.60509,0.58689,0.58356,0.22047,2.01805,1.57963,0.04439,0.0004358,0.0004358,0.0004358
81,31075.1,1.54135,1.53825,0.02414,0.62835,0.56721,0.57775,0.21476,2.05958,1.55341,0.04484,0.000416,0.000416,0.000416
82,31455.7,1.55596,1.54824,0.0245,0.59139,0.59344,0.58501,0.21414,2.01066,1.58581,0.04425,0.0003962,0.0003962,0.0003962
83,31836.2,1.55814,1.51432,0.02433,0.60668,0.6,0.58294,0.22374,2.01986,1.5518,0.04419,0.0003764,0.0003764,0.0003764
84,32216.3,1.52882,1.48183,0.02354,0.65394,0.5638,0.56983,0.22081,1.96906,1.60762,0.04259,0.0003566,0.0003566,0.0003566
85,32596.9,1.52043,1.5355,0.02424,0.6178,0.5541,0.57324,0.21614,1.98337,1.60863,0.04325,0.0003368,0.0003368,0.0003368
